,election.year.calendar,position.label,province.name,province.code,Mujer,Varón,n/d
309,2007,Vicebogernador/a,CHACO,3,12.5,87.5,0.0
310,2007,Vicebogernador/a,CHUBUT,4,25.0,75.0,0.0
311,2007,Vicebogernador/a,CORDOBA,5,11.11111111111111,88.88888888888889,0.0
312,2007,Vicebogernador/a,ENTRE RIOS,7,50.0,50.0,0.0
313,2007,Vicebogernador/a,FORMOSA,8,42.857142857142854,57.14285714285714,0.0
314,2007,Vicebogernador/a,JUJUY,9,33.33333333333333,66.66666666666666,0.0
315,2007,Vicebogernador/a,LA PAMPA,10,0.0,100.0,0.0
316,2007,Vicebogernador/a,LA RIOJA,11,28.57142857142857,71.42857142857143,0.0
317,2007,Vicebogernador/a,MENDOZA,12,30.76923076923077,69.23076923076923,0.0
318,2007,Vicebogernador/a,MISIONES,13,20.0,80.0,0.0
319,2007,Vicebogernador/a,NEUQUEN,14,12.5,87.5,0.0
320,2007,Vicebogernador/a,RIO NEGRO,15,37.5,62.5,0.0
321,2007,Vicebogernador/a,SALTA,16,30.0,70.0,0.0
322,2007,Vicebogernador/a,SAN JUAN,17,0.0,100.0,0.0
323,2007,Vicebogernador/a,SAN LUIS,18,33.33333333333333,66.66666666666666,0.0
324,2007,Vicebogernador/a,SANTA CRUZ,19,20.0,80.0,0.0
325,2007,Vicebogernador/a,SANTA FE,20,36.36363636363637,63.63636363636363,0.0
326,2007,Vicebogernador/a,TIERRA DEL FUEGO,22,33.33333333333333,66.66666666666666,0.0
327,2007,Vicebogernador/a,TUCUMAN,23,15.384615384615385,84.61538461538461,0.0
328,2008,Gobernador/a,SANTIAGO DEL ESTERO,21,18.75,81.25,0.0
329,2008,Vicebogernador/a,SANTIAGO DEL ESTERO,21,12.5,87.5,0.0
330,2009,Gobernador/a,CORRIENTES,6,0.0,100.0,0.0
331,2009,Vicebogernador/a,CORRIENTES,6,0.0,100.0,0.0
332,2011,Gobernador/a,BUENOS AIRES,1,14.285714285714285,85.71428571428571,0.0
333,2011,Gobernador/a,CABA,24,21.428571428571427,78.57142857142857,0.0
334,2011,Gobernador/a,CATAMARCA,2,40.0,60.0,0.0
335,2011,Gobernador/a,CHACO,3,33.33333333333333,66.66666666666666,0.0
336,2011,Gobernador/a,CHUBUT,4,12.5,87.5,0.0
337,2011,Gobernador/a,CORDOBA,5,16.666666666666664,83.33333333333334,0.0
338,2011,Gobernador/a,ENTRE RIOS,7,16.666666666666664,83.33333333333334,0.0
339,2011,Gobernador/a,FORMOSA,8,20.0,80.0,0.0
340,2011,Gobernador/a,JUJUY,9,14.285714285714285,85.71428571428571,0.0
341,2011,Gobernador/a,LA PAMPA,10,0.0,100.0,0.0
342,2011,Gobernador/a,LA RIOJA,11,0.0,100.0,0.0
343,2011,Gobernador/a,MENDOZA,12,0.0,100.0,0.0
344,2011,Gobernador/a,MISIONES,13,0.0,100.0,0.0
345,2011,Gobernador/a,NEUQUEN,14,50.0,50.0,0.0
346,2011,Gobernador/a,RIO NEGRO,15,28.57142857142857,71.42857142857143,0.0
347,2011,Gobernador/a,SALTA,16,0.0,100.0,0.0
348,2011,Gobernador/a,SAN JUAN,17,0.0,100.0,0.0
349,2011,Gobernador/a,SAN LUIS,18,0.0,100.0,0.0
350,2011,Gobernador/a,SANTA CRUZ,19,25.0,75.0,0.0
351,2011,Gobernador/a,SANTA FE,20,0.0,100.0,0.0
352,2011,Gobernador/a,TIERRA DEL FUEGO,22,33.33333333333333,66.66666666666666,0.0
353,2011,Gobernador/a,TUCUMAN,23,6.666666666666667,93.33333333333333,0.0
354,2011,Vicebogernador/a,BUENOS AIRES,1,57.14285714285714,42.857142857142854,0.0
355,2011,Vicebogernador/a,CABA,24,28.57142857142857,71.42857142857143,0.0
